OBJECTID,quadrat,tag,StemTag,sp,lx,ly,dbh_2018,hom,codes_2018,status_2018,status_2022,comment_2022,mortality,census_status,tree_type,NAD83_X,NAD83_Y,personnel_list,personnel,date_measured,dbh_2023,status_currentCensus,codes_2023,code_choices,notes_currentCensus,DBH check,living_status,crown_position,crown_intact,crown_living,fad,fad_choices,lean_angle,wounded_main_stem,rotting_trunk,canker_swelling_deformity,dead_with_resprout,crown_check,GlobalID,CreationDate,Creator,EditDate,Editor,species,liana_load,multi stemmed,dbh_2018_mm,numeric_tag,hom_alert,lean_direction,comment_mortality,x,y
50759,0112,10779,1,astr,,,,,,,,,0,1,recruit,,,IK,"KB,IK",4/13/2023 2:39:55 PM,10,LI,,,,,,,,,,,,,,,0,,7b3de6e4-3bcb-42f7-80ed-509a2fd3bba7,4/13/2023 2:40:04 PM,shuej21,4/19/2023 2:56:42 PM,shuej21,astr,0,,,,,,,-78.1476948169156,38.8926043421631
50760,0113,010780,1,astr,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/13/2023 3:12:34 PM,12,LI,,,,,,,,,,,,,,,0,,40d0e83b-b10d-4637-98e0-7c5fb8d769b1,4/13/2023 3:12:56 PM,shuej21,4/19/2023 2:56:40 PM,shuej21,astr,0,,,,,,,-78.1475541147129,38.8929463971207
50761,0113,010781,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"KB,IK",4/13/2023 3:15:24 PM,15,LI,,,,,,,,,,,,,,,0,,b0c7f1b9-da14-4f62-99ed-d5d40674d940,4/13/2023 3:15:35 PM,shuej21,4/19/2023 2:56:37 PM,shuej21,astr,0,,,,,,,-78.1475408034811,38.8929465642235
50762,0113,010782,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"KB,IK",4/13/2023 3:18:00 PM,14,LI,,,,,,,,,,,,,,,0,,ccf35851-3c99-4424-93da-698eaf4f5e7e,4/13/2023 3:18:04 PM,shuej21,4/19/2023 2:56:34 PM,shuej21,astr,0,,,,,,,-78.1475298350551,38.8929439472037
50763,0113,010783,1,astr,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/13/2023 3:19:36 PM,11,LI,,,,,,,,,,,,,,,0,,5851b4d8-b182-4825-aa3e-e0958e0cb8d2,4/13/2023 3:19:44 PM,shuej21,4/19/2023 2:56:32 PM,shuej21,astr,0,,,,,,,-78.1475226709924,38.8929522317508
50764,0113,010785,1,astr,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/13/2023 3:23:07 PM,12,LI,,,,,,,,,,,,,,,0,,7fdaaade-4ac4-45f5-a35b-d47e45307b61,4/13/2023 3:23:11 PM,shuej21,4/19/2023 2:56:32 PM,shuej21,astr,0,,,,,,,-78.1474911940343,38.892956340812
50765,0113,010786,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"KB,IK",4/13/2023 3:27:45 PM,10,LI,,,,,,,,,,,,,,,0,,ace04e53-ec00-44d0-8488-23ff98aee0fd,4/13/2023 3:27:51 PM,shuej21,4/19/2023 2:56:28 PM,shuej21,astr,0,,,,,,,-78.1474811320081,38.8929522876834
50766,0113,010787,1,astr,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/13/2023 3:35:24 PM,12,LI,,,,,,,,,,,,,,,0,,a241fcfa-0d8b-4928-9486-72d39722ae88,4/13/2023 3:31:05 PM,shuej21,4/19/2023 2:56:14 PM,shuej21,astr,0,,,,,,,-78.1475157377986,38.8929290267652
50767,0113,010788,1,astr,,,,1.3,,,,,0,1,recruit,,,IK,"KB,IK",4/13/2023 3:32:00 PM,14,LI,,,,,,,,,,,,,,,0,,6c48a37c-f422-4667-8df5-914b01770e18,4/13/2023 3:32:59 PM,shuej21,4/19/2023 2:56:12 PM,shuej21,astr,0,,,,,,,-78.1475152302498,38.8929425628328
50768,0113,10789,1,astr,,,,1.3,,,,,0,1,recruit,,,KB,"IK,KB",4/13/2023 3:34:20 PM,12,LI,,,,,,,,,,,,,,,0,,d4b30fae-7f2b-4b7c-95c2-3863f47f014a,4/13/2023 3:34:27 PM,shuej21,4/19/2023 2:56:09 PM,shuej21,astr,0,,,,,,,-78.147520748599,38.8929397353612
